Date,KO,PEP,,,,
1990-01-02, 2.64 , 4.60 ,,,,
1990-01-03, 2.60 , 4.56 ,,,,
1990-01-04, 2.59 , 4.51 ,,,,
1990-01-05, 2.56 , 4.44 ,,,,
1990-01-08, 2.62 , 4.53 ,,,,
1990-01-09, 2.60 , 4.46 ,,,,
1990-01-10, 2.58 , 4.35 ,,,,
1990-01-11, 2.58 , 4.31 ,,,,
1990-01-12, 2.49 , 4.20 ,,,,
1990-01-15, 2.45 , 4.12 ,,,,
1990-01-16, 2.47 , 4.27 ,,,,
1990-01-17, 2.45 , 4.27 ,,,,
1990-01-18, 2.44 , 4.24 ,,,,
1990-01-19, 2.45 , 4.29 ,,,,
1990-01-22, 2.38 , 4.20 ,,,,
1990-01-23, 2.40 , 4.20 ,,,,
1990-01-24, 2.39 , 4.18 ,,,,
1990-01-25, 2.32 , 4.10 ,,,,
1990-01-26, 2.28 , 4.01 ,,,,
1990-01-29, 2.31 , 4.05 ,,,,
1990-01-30, 2.24 , 4.02 ,,,,
1990-01-31, 2.33 , 4.12 ,,,,
1990-02-01, 2.32 , 4.17 ,,,,
1990-02-02, 2.35 , 4.20 ,,,,
1990-02-05, 2.34 , 4.18 ,,,,
1990-02-06, 2.32 , 4.25 ,,,,
1990-02-07, 2.35 , 4.26 ,,,,
1990-02-08, 2.35 , 4.29 ,,,,
1990-02-09, 2.33 , 4.31 ,,,,
1990-02-12, 2.32 , 4.30 ,,,,
1990-02-13, 2.27 , 4.20 ,,,,
1990-02-14, 2.27 , 4.22 ,,,,
1990-02-15, 2.35 , 4.25 ,,,,
1990-02-16, 2.32 , 4.22 ,,,,
1990-02-20, 2.32 , 4.15 ,,,,
1990-02-21, 2.32 , 4.08 ,,,,
1990-02-22, 2.29 , 4.05 ,,,,
1990-02-23, 2.30 , 4.06 ,,,,
1990-02-26, 2.34 , 4.10 ,,,,
1990-02-27, 2.36 , 4.14 ,,,,
1990-02-28, 2.38 , 4.19 ,,,,
1990-03-01, 2.39 , 4.13 ,,,,
1990-03-02, 2.37 , 4.07 ,,,,
1990-03-05, 2.37 , 4.07 ,,,,
1990-03-06, 2.42 , 4.12 ,,,,
1990-03-07, 2.41 , 4.19 ,,,,
1990-03-08, 2.45 , 4.27 ,,,,
1990-03-09, 2.43 , 4.22 ,,,,
1990-03-12, 2.44 , 4.29 ,,,,
1990-03-13, 2.43 , 4.27 ,,,,
1990-03-14, 2.45 , 4.25 ,,,,
1990-03-15, 2.44 , 4.27 ,,,,
1990-03-16, 2.48 , 4.32 ,,,,
1990-03-19, 2.55 , 4.44 ,,,,
1990-03-20, 2.52 , 4.42 ,,,,
1990-03-21, 2.50 , 4.42 ,,,,
1990-03-22, 2.45 , 4.36 ,,,,
1990-03-23, 2.51 , 4.43 ,,,,
1990-03-26, 2.51 , 4.49 ,,,,
1990-03-27, 2.55 , 4.56 ,,,,
1990-03-28, 2.56 , 4.59 ,,,,
1990-03-29, 2.55 , 4.55 ,,,,
1990-03-30, 2.53 , 4.50 ,,,,
1990-04-02, 2.57 , 4.52 ,,,,
1990-04-03, 2.61 , 4.60 ,,,,
1990-04-04, 2.62 , 4.56 ,,,,
1990-04-05, 2.62 , 4.58 ,,,,
1990-04-06, 2.63 , 4.67 ,,,,
1990-04-09, 2.68 , 4.78 ,,,,
1990-04-10, 2.71 , 4.77 ,,,,
1990-04-11, 2.70 , 4.80 ,,,,
1990-04-12, 2.72 , 4.86 ,,,,
1990-04-16, 2.72 , 4.87 ,,,,
1990-04-17, 2.71 , 4.87 ,,,,
1990-04-18, 2.68 , 4.77 ,,,,
1990-04-19, 2.62 , 4.71 ,,,,
1990-04-20, 2.59 , 4.70 ,,,,
